journal_title,issn,e_issn,twitter,ahci,ssci,scie,has_twitter,wos_scie,wos_ssci,wos_ahci,publisher_name,account_created_date
environmental forensics,1527-5922,1527-5930,NA,0,0,1,0,Environmental Sciences,NA,NA,TAYLOR & FRANCIS LTD,NA
environmental geochemistry and health,0269-4042,1573-2983,NA,0,0,1,0,"Engineering, Environmental | Environmental Sciences | Public, Environmental & Occupational Health | Water Resources",NA,NA,SPRINGER,NA
environmental geotechnics,2051-803X,2051-803X,NA,0,0,1,0,"Engineering, Geological",NA,NA,ICE PUBLISHING,NA
environmental hazards-human and policy dimensions,1747-7891,1878-0059,NA,0,1,0,0,NA,Environmental Studies,NA,TAYLOR & FRANCIS LTD,NA
environmental health,1476-069X,1476-069X,NA,0,0,1,0,"Environmental Sciences | Public, Environmental & Occupational Health",NA,NA,BMC,NA
environmental health and preventive medicine,1342-078X,1347-4715,NA,0,1,1,0,"Public, Environmental & Occupational Health","Public, Environmental & Occupational Health",NA,SPRINGER,NA
environmental health and preventive medicine,1342-078X,1347-4715,NA,0,1,1,0,"Public, Environmental & Occupational Health","Public, Environmental & Occupational Health",NA,SPRINGER,NA
environmental health perspectives,0091-6765,1552-9924,EHPonline,0,0,1,1,"Environmental Sciences | Public, Environmental & Occupational Health | Toxicology",NA,NA,US DEPT HEALTH HUMAN SCIENCES PUBLIC HEALTH SCIENCE,7/22/2009
environmental history,1084-5453,1930-8892,envhistjournal,1,1,0,1,NA,History | Environmental Studies,History,OXFORD UNIV PRESS INC,10/12/2013
environmental history,1084-5453,1930-8892,envhistjournal,1,1,0,1,NA,History | Environmental Studies,History,OXFORD UNIV PRESS INC,10/12/2013
environmental impact assessment review,0195-9255,1873-6432,NA,0,1,0,0,NA,Environmental Studies,NA,ELSEVIER SCIENCE INC,NA
environmental innovation and societal transitions,2210-4224,2210-4232,NA,0,1,1,0,Environmental Sciences,Environmental Studies,NA,ELSEVIER,NA
environmental innovation and societal transitions,2210-4224,2210-4232,NA,0,1,1,0,Environmental Sciences,Environmental Studies,NA,ELSEVIER,NA
environmental management,0364-152X,1432-1009,NA,0,0,1,0,Environmental Sciences,NA,NA,SPRINGER,NA
environmental microbiology,1462-2912,1462-2920,NA,0,0,1,0,Microbiology,NA,NA,WILEY,NA
environmental microbiology reports,1758-2229,1758-2229,NA,0,0,1,0,Environmental Sciences | Microbiology,NA,NA,WILEY,NA
environmental microbiome,NA,2524-6372,NA,0,0,1,0,Genetics & Heredity | Microbiology,NA,NA,BMC,NA
environmental modeling & assessment,1420-2026,1573-2967,NA,0,0,1,0,Environmental Sciences,NA,NA,SPRINGER,NA
environmental modelling & software,1364-8152,1873-6726,NA,0,0,1,0,"Computer Science, Interdisciplinary Applications | Engineering, Environmental | Environmental Sciences | Water Resources",NA,NA,ELSEVIER SCI LTD,NA
environmental monitoring and assessment,0167-6369,1573-2959,NA,0,0,1,0,Environmental Sciences,NA,NA,SPRINGER,NA
environmental policy and governance,1756-932X,1756-9338,NA,0,1,0,0,NA,Environmental Studies,NA,"WILEY PERIODICALS, INC",NA
environmental politics,0964-4016,1743-8934,env_pol,0,1,0,1,NA,Environmental Studies | Political Science,NA,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",2/20/2018
environmental pollutants and bioavailability,2639-5932,2639-5940,NA,0,0,1,0,Biochemistry & Molecular Biology | Environmental Sciences | Toxicology,NA,NA,TAYLOR & FRANCIS LTD,NA
environmental pollution,0269-7491,1873-6424,NA,0,0,1,0,Environmental Sciences,NA,NA,ELSEVIER SCI LTD,NA
environmental progress & sustainable energy,1944-7442,1944-7450,NA,0,0,1,0,"Green & Sustainable Science & Technology | Engineering, Environmental | Engineering, Chemical | Environmental Sciences",NA,NA,WILEY,NA
environmental research,0013-9351,1096-0953,NA,0,0,1,0,"Environmental Sciences | Public, Environmental & Occupational Health",NA,NA,ACADEMIC PRESS INC ELSEVIER SCIENCE,NA
environmental research communications,2515-7620,2515-7620,NA,0,0,1,0,Environmental Sciences,NA,NA,IOP PUBLISHING LTD,NA
environmental research letters,1748-9326,1748-9326,NA,0,0,1,0,Environmental Sciences | Meteorology & Atmospheric Sciences,NA,NA,IOP PUBLISHING LTD,NA
environmental reviews,1208-6053,1181-8700,NA,0,0,1,0,Environmental Sciences,NA,NA,CANADIAN SCIENCE PUBLISHING,NA
environmental science-nano,2051-8153,2051-8161,NA,0,0,1,0,"Chemistry, Multidisciplinary | Environmental Sciences | Nanoscience & Nanotechnology",NA,NA,ROYAL SOC CHEMISTRY,NA
environmental science-processes & impacts,2050-7887,2050-7895,NA,0,0,1,0,"Chemistry, Analytical | Environmental Sciences",NA,NA,ROYAL SOC CHEMISTRY,NA
environmental science-water research & technology,2053-1400,2053-1419,NA,0,0,1,0,"Engineering, Environmental | Environmental Sciences | Water Resources",NA,NA,ROYAL SOC CHEMISTRY,NA
environmental science & policy,1462-9011,1873-6416,NA,0,0,1,0,Environmental Sciences,NA,NA,ELSEVIER SCI LTD,NA
environmental science & technology,0013-936X,1520-5851,NA,0,0,1,0,"Engineering, Environmental | Environmental Sciences",NA,NA,AMER CHEMICAL SOC,NA
environmental science & technology letters,2328-8930,2328-8930,NA,0,0,1,0,"Engineering, Environmental | Environmental Sciences",NA,NA,AMER CHEMICAL SOC,NA
environmental science and pollution research,0944-1344,1614-7499,NA,0,0,1,0,Environmental Sciences,NA,NA,SPRINGER HEIDELBERG,NA
environmental sciences europe,2190-4707,2190-4715,NA,0,0,1,0,Environmental Sciences,NA,NA,SPRINGER,NA
environmental technology,0959-3330,1479-487X,NA,0,0,1,0,Environmental Sciences,NA,NA,TAYLOR & FRANCIS LTD,NA
environmental technology & innovation,2352-1864,2352-1864,NA,0,0,1,0,"Biotechnology & Applied Microbiology | Engineering, Environmental | Environmental Sciences",NA,NA,ELSEVIER,NA
environmental toxicology,1520-4081,1522-7278,NA,0,0,1,0,Environmental Sciences | Toxicology | Water Resources,NA,NA,WILEY,NA
environmental toxicology and chemistry,0730-7268,1552-8618,etc_editor,0,0,1,1,Environmental Sciences | Toxicology,NA,NA,WILEY,5/1/2014
environmental toxicology and pharmacology,1382-6689,1872-7077,NA,0,0,1,0,Environmental Sciences | Pharmacology & Pharmacy | Toxicology,NA,NA,ELSEVIER,NA
environmental values,0963-2719,1752-7015,J_EnvValues,0,1,0,1,NA,Ethics | Environmental Studies,NA,WHITE HORSE PRESS,7/19/2013
environmetrics,1180-4009,1099-095X,NA,0,0,1,0,"Environmental Sciences | Mathematics, Interdisciplinary Applications | Statistics & Probability",NA,NA,WILEY,NA
enzyme and microbial technology,0141-0229,1879-0909,NA,0,0,1,0,Biotechnology & Applied Microbiology,NA,NA,ELSEVIER SCIENCE INC,NA
epe journal,0939-8368,2376-9319,NA,0,0,1,0,"Engineering, Electrical & Electronic",NA,NA,TAYLOR & FRANCIS LTD,NA
ephemerides theologicae lovanienses,0013-9513,1783-1423,NA,1,0,0,0,NA,NA,Religion,PEETERS,NA
epidemics,1755-4365,1878-0067,NA,0,0,1,0,Infectious Diseases,NA,NA,ELSEVIER,NA
epidemiologia & prevenzione,1120-9763,2385-1937,NA,0,1,1,0,"Public, Environmental & Occupational Health","Public, Environmental & Occupational Health",NA,INFERENZE SCARL,NA
epidemiologia & prevenzione,1120-9763,2385-1937,NA,0,1,1,0,"Public, Environmental & Occupational Health","Public, Environmental & Occupational Health",NA,INFERENZE SCARL,NA
epidemiologic reviews,0193-936X,1478-6729,EpiReviews,0,0,1,1,"Public, Environmental & Occupational Health",NA,NA,OXFORD UNIV PRESS INC,1/25/2018
epidemiologie mikrobiologie imunologie,1210-7913,NA,NA,0,0,1,0,Microbiology,NA,NA,CESKA LEKARSKA SPOLECNOST J  EV  PURKYNE,NA
epidemiology,1044-3983,1531-5487,EpidemiologyLWW,0,1,1,1,"Public, Environmental & Occupational Health","Public, Environmental & Occupational Health",NA,LIPPINCOTT WILLIAMS & WILKINS,12/20/2010
epidemiology,1044-3983,1531-5487,EpidemiologyLWW,0,1,1,1,"Public, Environmental & Occupational Health","Public, Environmental & Occupational Health",NA,LIPPINCOTT WILLIAMS & WILKINS,12/20/2010
epidemiology and health,2092-7193,2092-7193,NA,0,0,1,0,"Public, Environmental & Occupational Health",NA,NA,KOREAN SOC EPIDEMIOLOGY,NA
epidemiology and infection,0950-2688,1469-4409,Epidemio_Infect,0,0,1,1,"Public, Environmental & Occupational Health | Infectious Diseases",NA,NA,CAMBRIDGE UNIV PRESS,4/4/2019
epidemiology and psychiatric sciences,2045-7960,2045-7979,NA,0,1,1,0,Psychiatry,Psychiatry,NA,CAMBRIDGE UNIV PRESS,NA
epidemiology and psychiatric sciences,2045-7960,2045-7979,NA,0,1,1,0,Psychiatry,Psychiatry,NA,CAMBRIDGE UNIV PRESS,NA
epigenetics,1559-2294,1559-2308,EpigeneticsJ,0,0,1,1,Biochemistry & Molecular Biology | Genetics & Heredity,NA,NA,TAYLOR & FRANCIS INC,10/22/2018
epigenetics & chromatin,1756-8935,1756-8935,EpigenChromatin,0,0,1,1,Genetics & Heredity,NA,NA,BMC,4/24/2012
epigenomics,1750-1911,1750-192X,EpigenomicsFSG,0,0,1,1,Genetics & Heredity,NA,NA,FUTURE MEDICINE LTD,7/15/2014
epilepsia,0013-9580,1528-1167,EpilepsiaJourn,0,0,1,1,Clinical Neurology,NA,NA,WILEY,1/31/2014
epilepsia open,2470-9239,2470-9239,EpilepsiaOpen,0,0,1,1,Clinical Neurology | Neurosciences,NA,NA,WILEY,3/31/2016
epilepsy & behavior,1525-5050,1525-5069,EpilepsyBehavi1,0,0,1,1,Behavioral Sciences | Clinical Neurology | Psychiatry,NA,NA,ACADEMIC PRESS INC ELSEVIER SCIENCE,6/3/2019
epilepsy currents,1535-7597,1535-7511,AESCurrents,0,0,1,1,Clinical Neurology,NA,NA,SAGE PUBLICATIONS INC,1/15/2021
epilepsy research,0920-1211,1872-6844,NA,0,0,1,0,Clinical Neurology,NA,NA,ELSEVIER,NA
epileptic disorders,1294-9361,1950-6945,EpiDisorders,0,0,1,1,Clinical Neurology,NA,NA,JOHN LIBBEY EUROTEXT LTD,1/31/2017
episodes,0705-3797,0705-3797,NA,0,0,1,0,"Geosciences, Multidisciplinary",NA,NA,GEOLOGICAL SOC KOREA,NA
episteme-a journal of individual and social epistemology,1742-3600,1750-0117,NA,1,0,0,0,NA,NA,Philosophy,CAMBRIDGE UNIV PRESS,NA
epj data science,2193-1127,2193-1127,epj_ds,0,1,1,1,"Mathematics, Interdisciplinary Applications","Social Sciences, Mathematical Methods",NA,SPRINGER,10/3/2016
epj data science,2193-1127,2193-1127,epj_ds,0,1,1,1,"Mathematics, Interdisciplinary Applications","Social Sciences, Mathematical Methods",NA,SPRINGER,10/3/2016
epj quantum technology,2662-4400,2196-0763,NA,0,0,1,0,"Quantum Science & Technology | Optics | Physics, Atomic, Molecular & Chemical",NA,NA,SPRINGER,NA
epma journal,1878-5077,1878-5085,TheEPMAJournal,0,0,1,1,"Medicine, Research & Experimental",NA,NA,SPRINGER INT PUBL AG,11/9/2010
equine veterinary education,0957-7734,2042-3292,NA,0,0,1,0,Veterinary Sciences,NA,NA,WILEY,NA
equine veterinary journal,0425-1644,2042-3306,NA,0,0,1,0,Veterinary Sciences,NA,NA,WILEY,NA
erde,0013-9998,0013-9998,NA,0,1,1,0,"Geography, Physical | Geosciences, Multidisciplinary",Geography,NA,GESELLSCHAFT ERDKUNDE BERLIN,NA
erde,0013-9998,0013-9998,NA,0,1,1,0,"Geography, Physical | Geosciences, Multidisciplinary",Geography,NA,GESELLSCHAFT ERDKUNDE BERLIN,NA
erdkunde,0014-0015,0014-0015,NA,0,1,1,0,"Geography, Physical",Geography,NA,"UNIV BONN, GEOGRAPHISCHES INST",NA
erdkunde,0014-0015,0014-0015,NA,0,1,1,0,"Geography, Physical",Geography,NA,"UNIV BONN, GEOGRAPHISCHES INST",NA
ergo-an open access journal of philosophy,2330-4014,2330-4014,ErgoEditors,1,0,0,1,NA,NA,Philosophy,MICHIGAN PUBLISHING,4/30/2014
ergodic theory and dynamical systems,0143-3857,1469-4417,NA,0,0,1,0,"Mathematics, Applied | Mathematics",NA,NA,CAMBRIDGE UNIV PRESS,NA
ergonomics,0014-0139,1366-5847,ergonomics1957,0,1,1,1,"Engineering, Industrial | Psychology","Ergonomics | Psychology, Applied",NA,TAYLOR & FRANCIS LTD,12/13/2014
ergonomics,0014-0139,1366-5847,ergonomics1957,0,1,1,1,"Engineering, Industrial | Psychology","Ergonomics | Psychology, Applied",NA,TAYLOR & FRANCIS LTD,12/13/2014
erkenntnis,0165-0106,1572-8420,NA,1,0,0,0,NA,NA,Philosophy,SPRINGER,NA
ernahrungs umschau,0174-0008,0174-0008,NA,0,0,1,0,Nutrition & Dietetics,NA,NA,UMSCHAU VERLAG,NA
erwerbs-obstbau,0014-0309,1439-0302,NA,0,0,1,0,Horticulture,NA,NA,SPRINGER,NA
esaim-control optimisation and calculus of variations,1292-8119,1262-3377,NA,0,0,1,0,"Automation & Control Systems | Mathematics, Applied",NA,NA,EDP SCIENCES S A,NA
esaim-mathematical modelling and numerical analysis-modelisation mathematique et analyse numerique,0764-583X,1290-3841,NA,0,0,1,0,"Mathematics, Applied",NA,NA,EDP SCIENCES S A,NA
esaim-probability and statistics,1292-8100,1262-3318,NA,0,0,1,0,Statistics & Probability,NA,NA,EDP SCIENCES S A,NA
esc heart failure,2055-5822,2055-5822,NA,0,0,1,0,Cardiac & Cardiovascular System,NA,NA,"WILEY PERIODICALS, INC",NA
esmo open,2059-7029,2059-7029,ESMO_Open,0,0,1,1,Oncology,NA,NA,ELSEVIER,9/22/2015
esophagus,1612-9059,1612-9067,NA,0,0,1,0,Gastroenterology & Hepatology,NA,NA,SPRINGER JAPAN KK,NA
esprit,0014-0759,2111-4579,NA,1,0,0,0,NA,NA,Literary Reviews,ESPRIT,NA
esprit createur,0014-0767,1931-0234,NA,1,0,0,0,NA,NA,"Literature, Romance",JOHNS HOPKINS UNIV PRESS,NA
esq-a journal of the american renaissance,0093-8297,1935-021X,ESQJournal,1,0,0,1,NA,NA,"Literature, American",WASHINGTON STATE UNIV,6/18/2015
essays in biochemistry,0071-1365,1744-1358,NA,0,0,1,0,Biochemistry & Molecular Biology,NA,NA,PORTLAND PRESS LTD,NA
essays in criticism,0014-0856,1471-6852,NA,1,0,0,0,NA,NA,Literature,OXFORD UNIV PRESS,NA
estetika-the european journal of aesthetics,NA,2571-0915,NA,1,0,0,0,NA,NA,Philosophy | Art,HELSINKI UNIV PRESS,NA
estonian journal of archaeology,1406-2933,1736-7484,NA,1,0,0,0,NA,NA,Archaeology,ESTONIAN ACAD PUBLISHERS,NA
estonian journal of earth sciences,1736-4728,1736-7557,NA,0,0,1,0,"Geosciences, Multidisciplinary",NA,NA,ESTONIAN ACAD PUBLISHERS,NA
estreno-cuadernos del teatro espanol contemporaneo,0097-8663,NA,NA,1,0,0,0,NA,NA,Theater,ESTRENO,NA
estuaries and coasts,1559-2723,1559-2731,NA,0,0,1,0,Environmental Sciences | Marine & Freshwater Biology,NA,NA,SPRINGER,NA
estuarine coastal and shelf science,0272-7714,1096-0015,NA,0,0,1,0,Marine & Freshwater Biology | Oceanography,NA,NA,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,NA
estudios atacamenos,0718-1043,0718-1043,reatacam,1,1,0,1,NA,History | Anthropology,History | Archaeology,UNIV CATOLICA NORTE,3/23/2015
estudios atacamenos,0718-1043,0718-1043,reatacam,1,1,0,1,NA,History | Anthropology,History | Archaeology,UNIV CATOLICA NORTE,3/23/2015
estudios de economia,0718-5286,0718-5286,NA,0,1,0,0,NA,Economics,NA,UNIV CHILE DEPT ECONOMICS,NA
estudios filologicos,0071-1713,0717-6171,NA,1,1,0,0,NA,Linguistics,"Language & Linguistics | Literature, Romance",UNIV AUSTRAL CHILE,NA
estudios filologicos,0071-1713,0717-6171,NA,1,1,0,0,NA,Linguistics,"Language & Linguistics | Literature, Romance",UNIV AUSTRAL CHILE,NA
estudios geologicos-madrid,0367-0449,1988-3250,NA,0,0,1,0,Geology,NA,NA,CONSEJO SUPERIOR INVESTIGACIONES CIENTIFICAS-CSIC,NA
estudos ibero-americanos,0101-4064,1980-864X,NA,1,0,0,0,NA,NA,History,PONTIFICIA UNIVERSIDADE CATOLICA DO RIO GRANDE SUL,NA
ethical perspectives,1370-0049,1783-1431,NA,1,1,0,0,NA,Ethics,Philosophy,PEETERS,NA
ethical perspectives,1370-0049,1783-1431,NA,1,1,0,0,NA,Ethics,Philosophy,PEETERS,NA
ethical theory and moral practice,1386-2820,1572-8447,ETMPjournal,1,0,0,1,NA,NA,Philosophy,SPRINGER,6/9/2020
ethics,0014-1704,1539-297X,EthicsJournal,1,1,0,1,NA,Ethics,Philosophy,UNIV CHICAGO PRESS,8/7/2013
ethics,0014-1704,1539-297X,EthicsJournal,1,1,0,1,NA,Ethics,Philosophy,UNIV CHICAGO PRESS,8/7/2013
ethics & behavior,1050-8422,1532-7019,NA,0,1,0,0,NA,"Ethics | Psychology, Multidisciplinary",NA,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",NA
ethics & global politics,1654-4951,1654-6369,NA,0,1,0,0,NA,Ethics | Political Science,NA,TAYLOR & FRANCIS LTD,NA
ethics & international affairs,0892-6794,1747-7093,eiajournal,0,1,0,1,NA,Ethics | International Relations | Political Science,NA,CAMBRIDGE UNIV PRESS,2/7/2012
ethics and information technology,1388-1957,1572-8439,NA,1,1,0,0,NA,Ethics | Information Science & Library Science,Philosophy,SPRINGER,NA
ethics and information technology,1388-1957,1572-8439,NA,1,1,0,0,NA,Ethics | Information Science & Library Science,Philosophy,SPRINGER,NA
ethik in der medizin,0935-7335,1437-1618,NA,0,0,1,0,Medical Ethics,NA,NA,SPRINGER,NA
ethiopian journal of health development,1021-6790,1021-6790,NA,0,1,1,0,"Public, Environmental & Occupational Health","Public, Environmental & Occupational Health",NA,"ADDIS ABABA UNIV, DEPT COMMUNITY HEALTH",NA
ethiopian journal of health development,1021-6790,1021-6790,NA,0,1,1,0,"Public, Environmental & Occupational Health","Public, Environmental & Occupational Health",NA,"ADDIS ABABA UNIV, DEPT COMMUNITY HEALTH",NA
ethnic and racial studies,0141-9870,1466-4356,ersjournal,0,1,0,1,NA,Ethnic Studies | Sociology,NA,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1/8/2014
ethnicities,1468-7968,1741-2706,EthnicitiesSAGE,0,1,0,1,NA,Ethnic Studies,NA,SAGE PUBLICATIONS LTD,11/25/2015
ethnicity & disease,1049-510X,1945-0826,EthnicityD,0,0,1,1,"Public, Environmental & Occupational Health",NA,NA,"ETHNICITY & DISEASE, INC",2/21/2019
ethnicity & health,1355-7858,1465-3419,EthnicityHealth,0,1,1,1,"Public, Environmental & Occupational Health",Ethnic Studies,NA,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",10/23/2019
ethnicity & health,1355-7858,1465-3419,EthnicityHealth,0,1,1,1,"Public, Environmental & Occupational Health",Ethnic Studies,NA,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",10/23/2019
ethnography,1466-1381,1741-2714,NA,0,1,0,0,NA,Anthropology | Sociology,NA,SAGE PUBLICATIONS LTD,NA
ethnohistory,0014-1801,1527-5477,NA,1,1,0,0,NA,History | Anthropology,History,DUKE UNIV PRESS,NA
ethnohistory,0014-1801,1527-5477,NA,1,1,0,0,NA,History | Anthropology,History,DUKE UNIV PRESS,NA
ethnologia scandinavica,0348-9698,0348-9698,NA,1,0,0,0,NA,NA,"Humanities, Multidisciplinary",SWEDISH SCIENCE PRESS,NA
ethnomusicology,0014-1836,2156-7417,NA,1,0,0,0,NA,NA,Music,SOC ETHNOMUSICOLOGY INC,NA
ethnomusicology forum,1741-1912,1741-1920,NA,1,0,0,0,NA,NA,Music,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",NA
ethnos,0014-1844,1469-588X,NA,0,1,0,0,NA,Anthropology,NA,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",NA
ethology,0179-1613,1439-0310,NA,0,0,1,0,Behavioral Sciences | Zoology,NA,NA,WILEY,NA
ethology ecology & evolution,0394-9370,1828-7131,NA,0,0,1,0,Behavioral Sciences | Zoology,NA,NA,TAYLOR & FRANCIS LTD,NA
ethos,0091-2131,1548-1352,NA,0,1,0,0,NA,"Anthropology | Psychology, Multidisciplinary",NA,WILEY,NA
etikk i praksis,1890-3991,1890-4009,redaksjoneip,1,1,0,1,NA,Ethics,Philosophy,"AKADEMIKA AS, AKADEMIKA FORLAG",5/8/2015
etikk i praksis,1890-3991,1890-4009,redaksjoneip,1,1,0,1,NA,Ethics,Philosophy,"AKADEMIKA AS, AKADEMIKA FORLAG",5/8/2015
etr&d-educational technology research and development,1042-1629,1556-6501,NA,0,1,0,0,NA,Education & Educational Research,NA,SPRINGER,NA
etransportation,2590-1168,2590-1168,NA,0,0,1,0,"Engineering, Electrical & Electronic | Transportation Science & Technology | Energy & Fuels",NA,NA,ELSEVIER,NA
etri journal,1225-6463,2233-7326,NA,0,0,1,0,"Engineering, Electrical & Electronic | Telecommunications",NA,NA,WILEY,NA
etudes anglaises,0014-195X,0014-195X,NA,1,0,0,0,NA,NA,Literature,KLINCKSIECK,NA
etudes classiques,0014-200X,0014-200X,NA,1,0,0,0,NA,NA,Classics,SOC ETUDES CLASSIQUES,NA
etudes francaises,0014-2085,1492-1405,Revue_EtudFra,1,0,0,1,NA,NA,"Literature, Romance",PRESSES UNIV MONTREAL,1/29/2016
etudes germaniques,0014-2115,2426-5543,NA,1,0,0,0,NA,NA,"Literature, German, Dutch, Scandinavian",DIDIER-ERUDITION,NA
etudes litteraires,0014-214X,0014-214X,revue_el,1,0,0,1,NA,NA,"Literature, Romance",UNIV LAVAL,11/13/2018
etudes philosophiques,0014-2166,2101-0056,NA,1,0,0,0,NA,NA,Philosophy,PRESSES UNIV FRANCE,NA
etudes theologiques et religieuses,0014-2239,2272-9011,NA,1,0,0,0,NA,NA,Religion,INST PROTESTANT THEOLOGIE,NA
euphorion-zeitschrift fur literaturgeschichte,0014-2328,0014-2328,NA,1,0,0,0,NA,NA,Literature,UNIVERSITATSVERLAG C WINTER HEIDELBERG GMBH,NA
euphrosyne-revista de filologia classica,0870-0133,2736-3082,NA,1,0,0,0,NA,NA,Classics,"UNIV LISBOA, FAC LETTERS, CENTRO ESTUDOS CLASSICOS",NA
euphytica,0014-2336,1573-5060,NA,0,0,1,0,Agronomy | Plant Sciences | Horticulture,NA,NA,SPRINGER,NA
eurasian business review,1309-4297,2147-4281,NA,0,1,0,0,NA,Business | Economics | Management,NA,SPRINGER HEIDELBERG,NA
eurasian geography and economics,1538-7216,1938-2863,NA,0,1,0,0,NA,Area Studies | Geography,NA,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",NA
eurasian soil science,1064-2293,1556-195X,NA,0,0,1,0,Soil Science,NA,NA,PLEIADES PUBLISHING INC,NA
eurasip journal on advances in signal processing,1687-6180,1687-6180,NA,0,0,1,0,"Engineering, Electrical & Electronic",NA,NA,SPRINGER,NA
eurasip journal on audio speech and music processing,1687-4722,1687-4722,NA,0,0,1,0,"Acoustics | Engineering, Electrical & Electronic",NA,NA,SPRINGER,NA
eurasip journal on image and video processing,1687-5176,1687-5281,NA,0,0,1,0,"Engineering, Electrical & Electronic | Imaging Science & Photographic Technology",NA,NA,SPRINGER,NA
eurasip journal on wireless communications and networking,1687-1472,1687-1499,NA,0,0,1,0,"Engineering, Electrical & Electronic | Telecommunications",NA,NA,SPRINGER,NA
eure-revista latinoamericana de estudios urbano regionales,0250-7161,0717-6236,RevistaEURE,0,1,0,1,NA,Urban Studies,NA,"PONTIFICIA UNIV CATOLICA CHILE, INST ESTUDIOS URBANOS TERRITORIALES",7/6/2010
eurointervention,1774-024X,1969-6213,EuroInterventio,0,0,1,1,Cardiac & Cardiovascular System,NA,NA,EUROPA EDITION,5/5/2011
europace,1099-5129,1532-2092,NA,0,0,1,0,Cardiac & Cardiovascular System,NA,NA,OXFORD UNIV PRESS,NA
europe-asia studies,0966-8136,1465-3427,eurasiastudies,0,1,0,1,NA,Area Studies | Economics | Political Science,NA,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",2/2/2016
europe-revue litteraire mensuelle,0014-2751,0014-2751,NA,1,0,0,0,NA,NA,Literary Reviews,REVUE EUROPE,NA
european accounting review,0963-8180,1468-4497,EAR_Journal,0,1,0,1,NA,"Business, Finance",NA,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",12/23/2019
european addiction research,1022-6877,1421-9891,NA,0,1,1,0,Substance Abuse | Psychiatry,Substance Abuse | Psychiatry,NA,KARGER,NA
european addiction research,1022-6877,1421-9891,NA,0,1,1,0,Substance Abuse | Psychiatry,Substance Abuse | Psychiatry,NA,KARGER,NA
european annals of otorhinolaryngology-head and neck diseases,1879-7296,1879-730X,NA,0,0,1,0,Otorhinolaryngology,NA,NA,"ELSEVIER MASSON, CORPORATION OFFICE",NA
european archives of oto-rhino-laryngology,0937-4477,1434-4726,NA,0,0,1,0,Otorhinolaryngology,NA,NA,SPRINGER,NA
european archives of psychiatry and clinical neuroscience,0940-1334,1433-8491,NA,0,0,1,0,Clinical Neurology | Psychiatry,NA,NA,SPRINGER HEIDELBERG,NA
european biophysics journal with biophysics letters,0175-7571,1432-1017,NA,0,0,1,0,Biophysics,NA,NA,SPRINGER,NA
european business organization law review,1566-7529,1741-6205,NA,0,1,0,0,NA,Business | Law,NA,SPRINGER HEIDELBERG,NA
european cells & materials,1473-2262,1473-2262,NA,0,0,1,0,"Cell & Tissue Engineering | Engineering, Biomedical | Materials Science, Biomaterials | Orthopedics",NA,NA,AO RESEARCH INSTITUTE DAVOS-ARI,NA
european child & adolescent psychiatry,1018-8827,1435-165X,NA,0,1,1,0,Pediatrics | Psychiatry,"Psychiatry | Psychology, Development",NA,SPRINGER,NA
european child & adolescent psychiatry,1018-8827,1435-165X,NA,0,1,1,0,Pediatrics | Psychiatry,"Psychiatry | Psychology, Development",NA,SPRINGER,NA
european constitutional law review,1574-0196,1744-5515,eu_const,0,1,0,1,NA,Law,NA,CAMBRIDGE UNIV PRESS,2/7/2020
european cytokine network,1148-5493,1952-4005,NA,0,0,1,0,Biochemistry & Molecular Biology | Cell Biology | Immunology,NA,NA,JOHN LIBBEY EUROTEXT LTD,NA
european early childhood education research journal,1350-293X,1752-1807,NA,0,1,0,0,NA,Education & Educational Research,NA,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",NA
european eating disorders review,1072-4133,1099-0968,NA,0,1,0,0,NA,"Psychology, Clinical",NA,WILEY,NA
european economic review,0014-2921,1873-572X,NA,0,1,0,0,NA,Economics,NA,ELSEVIER,NA
european educational research journal,1474-9041,1474-9041,EuropeanEducat3,0,1,0,1,NA,Education & Educational Research,NA,SAGE PUBLICATIONS LTD,4/17/2020
european financial management,1354-7798,1468-036X,NA,0,1,0,0,NA,"Business, Finance",NA,WILEY,NA
european food research and technology,1438-2377,1438-2385,NA,0,0,1,0,Food Science & Technology,NA,NA,SPRINGER,NA
european geriatric medicine,1878-7649,1878-7657,NA,0,0,1,0,Geriatrics & Gerontology,NA,NA,SPRINGER,NA
european heart journal,0195-668X,1522-9645,ehj_ed,0,0,1,1,Cardiac & Cardiovascular System,NA,NA,OXFORD UNIV PRESS,1/23/2020
european heart journal-acute cardiovascular care,2048-8726,2048-8734,NA,0,0,1,0,Cardiac & Cardiovascular System,NA,NA,OXFORD UNIV PRESS,NA
